Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Ship_Mode,Order_Priority,Year,Order_Month,Order_Quarter,Order_Day,Shipping_Days,Profit_Margin
CA-2013-111696,2013-05-09,2013-05-11,TB-216254,OFF-PA-10002751,18,3,0.0,8.073,3.42,First Class,High,2013,May,2,Thursday,2,44.85
CA-2013-162733,2013-05-12,2013-05-13,TT-210704,OFF-PA-10002751,6,1,0.0,2.691,0.41,First Class,Medium,2013,May,2,Sunday,1,44.85
CA-2013-133144,2013-05-17,2013-05-22,DO-134354,OFF-PA-10004971,17,3,0.0,8.4966,1.82,Second Class,Medium,2013,May,2,Friday,5,49.98
CA-2013-136994,2013-05-28,2013-06-03,LS-172454,OFF-PA-10000575,13,2,0.0,6.1548,0.88,Standard Class,Medium,2013,May,2,Tuesday,6,47.34
CA-2013-134803,2013-05-29,2013-06-04,CL-125654,OFF-PA-10003790,183,8,0.0,84.0512,17.93,Standard Class,Low,2013,May,2,Wednesday,6,45.93
CA-2013-113243,2013-06-11,2013-06-16,OT-187304,OFF-PA-10003441,32,5,0.0,15.552,1.91,Standard Class,Medium,2013,June,2,Tuesday,5,48.6
CA-2013-148593,2013-06-17,2013-06-19,BD-113204,OFF-PA-10001776,46,5,0.0,21.7845,1.14,Second Class,Medium,2013,June,2,Monday,2,47.36
CA-2013-123512,2013-06-18,2013-06-20,MV-181904,OFF-PA-10001497,220,4,0.0,107.7216,74.66,First Class,Critical,2013,June,2,Tuesday,2,48.96
CA-2013-130029,2013-07-04,2013-07-07,GT-147554,OFF-PA-10000552,13,2,0.0,6.2208,1.62,First Class,High,2013,July,3,Thursday,3,47.85
CA-2013-135265,2013-07-08,2013-07-10,CC-123704,OFF-PA-10002923,49,1,0.0,24.47,10.36,Second Class,Critical,2013,July,3,Monday,2,49.94
CA-2013-136021,2013-08-15,2013-08-19,JM-155804,OFF-PA-10000551,16,3,0.0,7.6146,2.15,Standard Class,High,2013,August,3,Thursday,4,47.59
CA-2013-167241,2013-08-16,2013-08-23,BD-113204,OFF-PA-10004911,38,4,0.0,18.0096,4.05,Standard Class,Low,2013,August,3,Friday,7,47.39
US-2013-101497,2013-09-30,2013-10-02,PS-187604,OFF-PA-10000176,19,1,0.0,9.1056,1.89,Second Class,High,2013,September,3,Monday,2,47.92
CA-2013-155033,2013-10-08,2013-10-13,CC-124754,OFF-PA-10000143,11,2,0.0,5.0688,1.61,Standard Class,High,2013,October,4,Tuesday,5,46.08
US-2013-162026,2013-10-09,2013-10-09,JE-157454,OFF-PA-10000167,62,2,0.0,27.882,3.0,Same Day,Critical,2013,October,4,Wednesday,0,44.97
CA-2013-109365,2013-11-04,2013-11-09,XP-218654,OFF-PA-10004359,315,3,0.0,150.984,22.15,Standard Class,Medium,2013,November,4,Monday,5,47.93
CA-2013-109365,2013-11-04,2013-11-09,XP-218654,OFF-PA-10001725,116,3,0.0,56.9772,5.57,Standard Class,Medium,2013,November,4,Monday,5,49.12
CA-2013-109365,2013-11-04,2013-11-09,XP-218654,OFF-PA-10000477,19,3,0.0,9.3312,1.3,Standard Class,Medium,2013,November,4,Monday,5,49.11
CA-2013-158694,2013-11-11,2013-11-14,AI-108554,OFF-PA-10002421,68,3,0.0,32.5008,10.83,Second Class,High,2013,November,4,Monday,3,47.8
CA-2013-158694,2013-11-11,2013-11-14,AI-108554,OFF-PA-10001363,61,5,0.0,28.858,8.68,Second Class,High,2013,November,4,Monday,3,47.31
CA-2014-149076,2014-01-15,2014-01-20,SO-203354,OFF-PA-10000483,155,5,0.0,69.705,9.12,Standard Class,Medium,2014,January,1,Wednesday,5,44.97
CA-2014-104647,2014-02-24,2014-03-02,CK-125954,OFF-PA-10002870,37,6,0.0,16.848,3.82,Standard Class,Medium,2014,February,1,Monday,6,45.54
CA-2014-128965,2014-04-18,2014-04-23,PS-187604,OFF-PA-10004911,28,3,0.0,13.5072,2.84,Standard Class,Medium,2014,April,2,Friday,5,48.24
CA-2014-120222,2014-04-26,2014-05-03,LL-168404,OFF-PA-10004675,19,3,0.0,8.763,1.52,Standard Class,Medium,2014,April,2,Saturday,7,46.12
CA-2014-147844,2014-05-03,2014-05-07,DD-135704,OFF-PA-10003016,16,5,0.0,7.065,0.93,Standard Class,Medium,2014,May,2,Saturday,4,44.16
CA-2014-147844,2014-05-03,2014-05-07,DD-135704,OFF-PA-10002713,34,5,0.0,15.824,2.54,Standard Class,Medium,2014,May,2,Saturday,4,46.54
US-2014-152002,2014-06-12,2014-06-12,DV-134654,OFF-PA-10000357,123,3,0.0,60.2553,23.65,Same Day,Medium,2014,June,2,Thursday,0,48.99
CA-2014-112753,2014-06-19,2014-06-24,CC-126704,OFF-PA-10002036,39,6,0.0,19.0512,4.89,Standard Class,High,2014,June,2,Thursday,5,48.85
US-2014-113201,2014-07-01,2014-07-06,TT-212204,OFF-PA-10000675,205,5,0.0,100.4255,14.98,Standard Class,Medium,2014,July,3,Tuesday,5,48.99
CA-2014-133718,2014-07-24,2014-07-27,TB-215204,OFF-PA-10002689,58,9,0.0,27.9936,7.82,First Class,Critical,2014,July,3,Thursday,3,48.26
CA-2014-105326,2014-08-21,2014-08-28,KT-164804,OFF-PA-10001639,26,4,0.0,12.4416,1.27,Standard Class,Medium,2014,August,3,Thursday,7,47.85
CA-2014-137498,2014-09-10,2014-09-15,LC-170504,OFF-PA-10000143,48,9,0.0,22.8096,5.29,Second Class,Medium,2014,September,3,Wednesday,5,47.52
US-2014-109582,2014-09-13,2014-09-18,JM-158654,OFF-PA-10004071,166,3,0.0,79.8912,11.1,Second Class,Medium,2014,September,3,Saturday,5,48.13
CA-2014-121853,2014-09-24,2014-09-30,DB-136604,OFF-PA-10003641,211,8,0.0,97.0784,15.64,Standard Class,Medium,2014,September,3,Wednesday,6,46.01
US-2014-115595,2014-10-10,2014-10-12,XP-218654,OFF-PA-10001745,35,5,0.0,16.544,7.79,First Class,Medium,2014,October,4,Friday,2,47.27
CA-2014-110842,2014-11-12,2014-11-17,GA-147254,OFF-PA-10000520,19,3,0.0,9.3312,1.43,Standard Class,Medium,2014,November,4,Wednesday,5,49.11
US-2014-125808,2014-11-13,2014-11-16,EP-139154,OFF-PA-10001846,12,2,0.0,5.6644,1.71,Second Class,High,2014,November,4,Thursday,3,47.2
CA-2014-118542,2014-12-02,2014-12-06,CC-125504,OFF-PA-10004735,45,7,0.0,21.7728,3.56,Standard Class,Medium,2014,December,4,Tuesday,4,48.38
CA-2014-102099,2014-12-19,2014-12-20,EP-139154,OFF-PA-10003172,13,2,0.0,6.2208,0.94,First Class,Medium,2014,December,4,Friday,1,47.85
CA-2014-102099,2014-12-19,2014-12-20,EP-139154,OFF-PA-10000289,32,5,0.0,15.552,1.09,First Class,Medium,2014,December,4,Friday,1,48.6
CA-2011-164903,2011-02-21,2011-02-25,SR-207404,OFF-PA-10003363,13,2,0.0,6.2208,1.14,Standard Class,High,2011,February,1,Monday,4,47.85
CA-2011-102652,2011-04-06,2011-04-12,AY-105554,OFF-PA-10001977,55,1,0.0,26.6304,2.28,Standard Class,Medium,2011,April,2,Wednesday,6,48.42
CA-2011-102652,2011-04-06,2011-04-12,AY-105554,OFF-PA-10003309,19,3,0.0,9.3312,2.11,Standard Class,Medium,2011,April,2,Wednesday,6,49.11
CA-2011-113768,2011-05-13,2011-05-19,AH-100304,OFF-PA-10003063,8,2,0.0,3.84,0.15,Standard Class,Medium,2011,May,2,Friday,6,48.0
CA-2011-146528,2011-07-25,2011-07-27,VF-217154,OFF-PA-10002195,6,1,0.0,3.1752,0.79,Second Class,High,2011,July,3,Monday,2,52.92
CA-2011-104178,2011-08-25,2011-08-29,JM-152654,OFF-PA-10004983,26,4,0.0,12.4416,3.11,Standard Class,High,2011,August,3,Thursday,4,47.85
CA-2011-106439,2011-10-31,2011-11-04,GG-146504,OFF-PA-10000477,65,13,0.0,30.4278,6.72,Standard Class,High,2011,October,4,Monday,4,46.81
CA-2011-168305,2011-11-01,2011-11-08,PL-189254,OFF-PA-10004947,21,5,0.0,9.63,0.92,Standard Class,Medium,2011,November,4,Tuesday,7,45.86
CA-2011-140732,2011-11-11,2011-11-13,MA-175604,OFF-PA-10003625,124,4,0.0,55.764,27.69,Second Class,High,2011,November,4,Friday,2,44.97
CA-2012-163104,2012-03-19,2012-03-26,MC-181304,OFF-PA-10001947,12,2,0.0,5.8604,1.2,Standard Class,Medium,2012,March,1,Monday,7,48.84
US-2012-107944,2012-03-23,2012-03-25,AM-103604,OFF-PA-10000659,193,11,0.0,92.5056,27.31,First Class,High,2012,March,1,Friday,2,47.93
CA-2012-138219,2012-03-23,2012-03-30,BP-110954,OFF-PA-10000380,33,4,0.0,16.68,2.16,Standard Class,Medium,2012,March,1,Friday,7,50.55
CA-2012-142601,2012-04-18,2012-04-20,DE-132554,OFF-PA-10000483,62,2,0.0,27.882,8.38,Second Class,Medium,2012,April,2,Wednesday,2,44.97
CA-2012-165554,2012-05-18,2012-05-22,AJ-107804,OFF-PA-10003724,11,2,0.0,5.3214,1.0,Standard Class,Medium,2012,May,2,Friday,4,48.38
CA-2012-161242,2012-06-01,2012-06-08,CG-120404,OFF-PA-10001838,12,2,0.0,5.7624,0.82,Standard Class,Medium,2012,June,2,Friday,7,48.02
CA-2012-133025,2012-09-17,2012-09-19,MO-178004,OFF-PA-10004100,32,5,0.0,15.552,7.02,Second Class,Critical,2012,September,3,Monday,2,48.6
CA-2012-132815,2012-09-19,2012-09-22,RW-195404,OFF-PA-10004530,23,2,0.0,11.2504,3.62,Second Class,High,2012,September,3,Wednesday,3,48.91
CA-2012-153220,2012-11-12,2012-11-14,YC-218954,OFF-PA-10003016,16,5,0.0,7.065,3.41,First Class,High,2012,November,4,Monday,2,44.16
CA-2012-125234,2012-11-27,2012-12-01,SN-207104,OFF-PA-10000482,114,3,0.0,53.4954,9.19,Standard Class,Medium,2012,November,4,Tuesday,4,46.93
CA-2012-141593,2012-12-14,2012-12-16,DB-129703,OFF-PA-10004983,6,1,0.0,3.1104,1.31,Second Class,High,2012,December,4,Friday,2,51.84
CA-2012-144890,2012-12-25,2012-12-29,SM-203204,OFF-PA-10001526,10,2,0.0,4.8804,0.22,Standard Class,Medium,2012,December,4,Tuesday,4,48.8
CA-2013-129238,2013-01-31,2013-02-04,SC-200504,OFF-PA-10002764,57,5,0.0,27.783,4.73,Standard Class,Medium,2013,January,1,Thursday,4,48.74
CA-2013-154067,2013-02-01,2013-02-07,SM-209504,OFF-PA-10002254,106,4,0.0,48.5392,8.11,Standard Class,Medium,2013,February,1,Friday,6,45.79
CA-2013-112942,2013-02-13,2013-02-18,RD-198104,OFF-PA-10004092,147,3,0.0,73.41,8.08,Standard Class,Medium,2013,February,1,Wednesday,5,49.94
CA-2013-159016,2013-03-11,2013-03-12,KF-162854,OFF-PA-10004405,15,5,0.0,7.152,2.67,First Class,High,2013,March,1,Monday,1,47.68
US-2013-159093,2013-05-10,2013-05-15,RS-194204,OFF-PA-10001260,32,4,0.0,14.418,1.48,Standard Class,Medium,2013,May,2,Friday,5,45.06
CA-2013-147473,2013-05-31,2013-06-04,NL-183104,OFF-PA-10004782,39,6,0.0,18.6624,2.81,Standard Class,Medium,2013,May,2,Friday,4,47.85
US-2013-155971,2013-06-07,2013-06-13,RB-197954,OFF-PA-10000210,100,5,0.0,46.953,4.9,Standard Class,Medium,2013,June,2,Friday,6,46.95
CA-2013-144015,2013-06-27,2013-06-27,AH-100754,OFF-PA-10002870,12,2,0.0,5.616,2.73,Same Day,Critical,2013,June,2,Thursday,0,46.8
US-2013-126452,2013-08-22,2013-08-29,SC-202304,OFF-PA-10002606,48,9,0.0,21.384,3.43,Standard Class,Low,2013,August,3,Thursday,7,44.55
US-2013-126452,2013-08-22,2013-08-29,SC-202304,OFF-PA-10003848,13,2,0.0,6.2208,1.16,Standard Class,Low,2013,August,3,Thursday,7,47.85
CA-2013-109806,2013-09-18,2013-09-23,JS-156854,OFF-PA-10000304,6,1,0.0,3.1104,0.52,Standard Class,Medium,2013,September,3,Wednesday,5,51.84
CA-2013-155187,2013-09-25,2013-09-27,LA-167804,OFF-PA-10000380,42,5,0.0,20.85,5.31,Second Class,Medium,2013,September,3,Wednesday,2,49.64
CA-2013-119018,2013-11-05,2013-11-09,CW-119054,OFF-PA-10000295,39,6,0.0,18.6624,6.66,Standard Class,High,2013,November,4,Tuesday,4,47.85
CA-2013-152646,2013-11-22,2013-11-27,TH-212354,OFF-PA-10004451,32,5,0.0,15.552,1.97,Standard Class,Medium,2013,November,4,Friday,5,48.6
US-2013-103674,2013-12-07,2013-12-11,AP-107204,OFF-PA-10000743,13,2,0.0,6.4128,0.8,Standard Class,Medium,2013,December,4,Saturday,4,49.33
CA-2013-145919,2013-12-19,2013-12-24,HG-149654,OFF-PA-10003072,39,6,0.0,18.6624,5.02,Standard Class,High,2013,December,4,Thursday,5,47.85
US-2013-116729,2013-12-26,2013-12-29,GK-146204,OFF-PA-10002005,45,7,0.0,21.7728,1.33,First Class,Medium,2013,December,4,Thursday,3,48.38
CA-2014-117212,2014-02-27,2014-03-01,BT-115304,OFF-PA-10001970,224,4,0.0,109.7208,17.93,Second Class,Medium,2014,February,1,Thursday,2,48.98
CA-2014-117212,2014-02-27,2014-03-01,BT-115304,OFF-PA-10000682,23,4,0.0,11.3288,2.6,Second Class,Medium,2014,February,1,Thursday,2,49.26
CA-2014-134635,2014-04-16,2014-04-18,NS-186404,OFF-PA-10002254,79,3,0.0,36.4044,17.5,Second Class,Critical,2014,April,2,Wednesday,2,46.08
CA-2014-120614,2014-05-31,2014-06-05,SM-209504,OFF-PA-10004911,38,4,0.0,18.0096,1.63,Standard Class,Medium,2014,May,2,Saturday,5,47.39
CA-2014-145772,2014-06-04,2014-06-08,SS-201404,OFF-PA-10001593,12,2,0.0,5.382,1.4,Standard Class,High,2014,June,2,Wednesday,4,44.85
CA-2014-113670,2014-10-16,2014-10-18,RS-197654,OFF-PA-10000675,205,5,0.0,100.4255,35.32,First Class,Critical,2014,October,4,Thursday,2,48.99
CA-2014-109701,2014-12-03,2014-12-04,AM-103604,OFF-PA-10003724,11,2,0.0,5.3214,1.77,Same Day,High,2014,December,4,Wednesday,1,48.38
CA-2014-153227,2014-12-05,2014-12-07,CS-122504,OFF-PA-10001838,12,2,0.0,5.7624,2.14,First Class,High,2014,December,4,Friday,2,48.02
CA-2014-161578,2014-12-17,2014-12-22,RB-194654,OFF-PA-10002986,13,2,0.0,6.4128,1.23,Second Class,High,2014,December,4,Wednesday,5,49.33
CA-2011-153808,2011-04-06,2011-04-10,FH-142754,OFF-AR-10001725,71,3,0.0,18.447,8.74,Second Class,High,2011,April,2,Wednesday,4,25.98
CA-2011-110849,2011-04-18,2011-04-23,JL-158354,OFF-AR-10000657,11,5,0.0,3.5475,1.79,Standard Class,High,2011,April,2,Monday,5,32.25
CA-2011-110849,2011-04-18,2011-04-23,JL-158354,OFF-AR-10002375,13,4,0.0,3.8048,0.6,Standard Class,High,2011,April,2,Monday,5,29.27
CA-2011-116785,2011-04-26,2011-04-30,MH-172904,OFF-AR-10003504,21,5,0.0,6.206,3.37,Standard Class,High,2011,April,2,Tuesday,4,29.55
US-2011-154879,2011-05-06,2011-05-11,SN-207104,OFF-AR-10001897,108,6,0.0,30.2232,10.88,Standard Class,Medium,2011,May,2,Friday,5,27.98
CA-2011-115812,2011-06-09,2011-06-14,BH-117104,OFF-AR-10002833,7,4,0.0,1.9656,0.49,Standard Class,Medium,2011,June,2,Thursday,5,28.08
CA-2011-114643,2011-06-13,2011-06-17,FM-142154,OFF-AR-10003631,15,3,0.0,4.7916,2.33,Standard Class,High,2011,June,2,Monday,4,31.94
CA-2011-109218,2011-06-30,2011-07-03,AR-108254,OFF-AR-10001374,32,5,0.0,10.368,1.53,Second Class,Medium,2011,June,2,Thursday,3,32.4
CA-2011-122679,2011-07-22,2011-07-28,AB-102554,OFF-AR-10004757,20,6,0.0,6.4944,1.37,Standard Class,Medium,2011,July,3,Friday,6,32.47
CA-2011-106439,2011-10-31,2011-11-04,GG-146504,OFF-AR-10001419,12,3,0.0,3.717,1.78,Standard Class,High,2011,October,4,Monday,4,30.98
CA-2011-153619,2011-11-03,2011-11-03,TC-215354,OFF-AR-10001868,7,4,0.0,3.36,1.6,Same Day,Critical,2011,November,4,Thursday,0,48.0
CA-2011-105270,2011-11-11,2011-11-18,AP-109154,OFF-AR-10003156,30,3,0.0,7.9248,4.02,Standard Class,Low,2011,November,4,Friday,7,26.42
US-2011-144078,2011-11-25,2011-11-29,RB-194354,OFF-AR-10004707,7,3,0.0,2.604,0.62,Standard Class,Medium,2011,November,4,Friday,4,37.2
CA-2011-133830,2011-12-05,2011-12-10,RL-196154,OFF-AR-10003045,26,9,0.0,11.907,1.45,Standard Class,Medium,2011,December,4,Monday,5,45.8
CA-2011-138737,2011-12-07,2011-12-10,FP-143204,OFF-AR-10003190,9,3,0.0,2.4192,0.71,First Class,Medium,2011,December,4,Wednesday,3,26.88
CA-2011-156594,2011-12-20,2011-12-23,MC-178454,OFF-AR-10001725,47,2,0.0,12.298,6.7,Second Class,High,2011,December,4,Tuesday,3,26.17
CA-2011-156594,2011-12-20,2011-12-23,MC-178454,OFF-AR-10004269,4,1,0.0,1.1564,0.68,Second Class,High,2011,December,4,Tuesday,3,28.91
CA-2012-151253,2012-04-22,2012-04-26,AZ-107504,OFF-AR-10004691,64,3,0.0,16.6764,7.61,Standard Class,High,2012,April,2,Sunday,4,26.06
CA-2012-115945,2012-06-25,2012-07-01,AB-101654,OFF-AR-10004062,21,2,0.0,5.24,1.56,Standard Class,Medium,2012,June,2,Monday,6,24.95
CA-2012-153388,2012-08-01,2012-08-07,PC-190004,OFF-AR-10001868,7,4,0.0,3.36,0.33,Standard Class,Medium,2012,August,3,Wednesday,6,48.0
CA-2012-167745,2012-09-18,2012-09-23,GB-145304,OFF-AR-10003602,12,2,0.0,5.4896,0.91,Standard Class,Medium,2012,September,3,Tuesday,5,45.75
CA-2012-144652,2012-11-20,2012-11-26,SN-205604,OFF-AR-10003732,19,7,0.0,5.0596,1.07,Standard Class,Medium,2012,November,4,Tuesday,6,26.63
CA-2012-105347,2012-11-24,2012-11-28,DP-130004,OFF-AR-10003045,15,5,0.0,6.615,0.76,Standard Class,Medium,2012,November,4,Saturday,4,44.1
CA-2012-115693,2012-12-10,2012-12-15,FC-142454,OFF-AR-10003582,56,2,0.0,15.764,4.99,Standard Class,Medium,2012,December,4,Monday,5,28.15
CA-2012-134117,2012-12-17,2012-12-19,PG-188954,OFF-AR-10003903,205,5,0.0,53.261,72.45,Second Class,Critical,2012,December,4,Monday,2,25.98
CA-2012-134117,2012-12-17,2012-12-19,PG-188954,OFF-AR-10001940,16,5,0.0,7.052,2.73,Second Class,Critical,2012,December,4,Monday,2,44.08
CA-2013-146437,2013-01-28,2013-02-01,HG-149654,OFF-AR-10000588,40,2,0.0,10.3168,3.91,Second Class,Medium,2013,January,1,Monday,4,25.79
US-2013-115819,2013-04-20,2013-04-25,JO-152804,OFF-AR-10000823,5,3,0.0,1.5288,0.41,Second Class,Medium,2013,April,2,Saturday,5,30.58
US-2013-115819,2013-04-20,2013-04-25,JO-152804,OFF-AR-10004456,73,5,0.0,21.228,7.83,Second Class,Medium,2013,April,2,Saturday,5,29.08
CA-2013-140256,2013-08-23,2013-08-30,PW-190304,OFF-AR-10002255,6,2,0.0,1.6704,0.52,Standard Class,Low,2013,August,3,Friday,7,27.84
US-2013-100405,2013-08-27,2013-08-29,TS-214304,OFF-AR-10000390,8,2,0.0,3.7996,2.99,Second Class,Critical,2013,August,3,Tuesday,2,47.5
CA-2013-126732,2013-09-03,2013-09-07,LR-169154,OFF-AR-10004752,19,7,0.0,5.2332,1.73,Standard Class,Medium,2013,September,3,Tuesday,4,27.54
CA-2013-109806,2013-09-18,2013-09-23,JS-156854,OFF-AR-10004930,20,3,0.0,6.633,1.44,Standard Class,Medium,2013,September,3,Wednesday,5,33.16
CA-2013-161746,2013-10-22,2013-10-28,CS-119504,OFF-AR-10000390,12,3,0.0,5.6994,0.09,Standard Class,Medium,2013,October,4,Tuesday,6,47.5
CA-2013-158694,2013-11-11,2013-11-14,AI-108554,OFF-AR-10001227,15,5,0.0,3.969,1.23,Second Class,High,2013,November,4,Monday,3,26.46
US-2013-112970,2013-11-15,2013-11-16,TB-212504,OFF-AR-10003829,10,3,0.0,2.8536,2.71,First Class,Critical,2013,November,4,Friday,1,28.54
CA-2013-107104,2013-11-27,2013-12-01,MS-173654,OFF-AR-10004269,37,9,0.0,10.4076,1.58,Standard Class,Medium,2013,November,4,Wednesday,4,28.13
CA-2013-104689,2013-12-02,2013-12-06,FH-143654,OFF-AR-10001149,23,8,0.0,6.912,1.32,Standard Class,High,2013,December,4,Monday,4,30.05
US-2013-103674,2013-12-07,2013-12-11,AP-107204,OFF-AR-10004752,19,7,0.0,5.2332,1.6,Standard Class,Medium,2013,December,4,Saturday,4,27.54
CA-2013-129868,2013-12-27,2014-01-01,MC-181304,OFF-AR-10001897,54,3,0.0,15.1116,2.39,Standard Class,Medium,2013,December,4,Friday,5,27.98
CA-2014-160934,2014-01-16,2014-01-20,TT-214604,OFF-AR-10003504,21,5,0.0,6.206,2.0,Standard Class,High,2014,January,1,Thursday,4,29.55
CA-2014-134838,2014-02-20,2014-02-21,ED-138854,OFF-AR-10000634,13,3,0.0,3.4668,0.83,First Class,High,2014,February,1,Thursday,1,26.67
CA-2014-110478,2014-03-05,2014-03-10,SP-208604,OFF-AR-10001573,9,4,0.0,2.7028,0.7,Standard Class,Medium,2014,March,1,Wednesday,5,30.03
CA-2014-143084,2014-03-19,2014-03-23,BP-110504,OFF-AR-10002766,14,5,0.0,3.753,0.56,Standard Class,Medium,2014,March,1,Wednesday,4,26.81
US-2014-120117,2014-03-31,2014-03-31,TB-214004,OFF-AR-10000817,6,2,0.0,2.0672,0.38,Same Day,High,2014,March,1,Monday,0,34.45
CA-2014-168228,2014-04-28,2014-04-30,AP-109154,OFF-AR-10001725,47,2,0.0,12.298,10.4,First Class,High,2014,April,2,Monday,2,26.17
CA-2014-168228,2014-04-28,2014-04-30,AP-109154,OFF-AR-10003373,124,4,0.0,33.4584,18.3,First Class,High,2014,April,2,Monday,2,26.98
